field,SCR_SaudiArabia,SEER_US_Louisiana,TCR_NHIRD_Taiwan,KCCR_NHIS_Korea,Gulf_GCCR,directly_comparable,harmonization_action
Case ascertainment,Population-based registry (notifiable),Population-based registry,Population registry (TCR); NHIRD is CLAIMS,Registry (KCCR); NHIS is CLAIMS,Population-based registries (GCCR),Mostly (registries),"Use REGISTRY incidence (TCR/KCCR/SCR), NOT raw insurance claims, for incidence comparisons."
Cancer site / topography,ICD-O-3,ICD-O-3 + SEER site recode,ICD-O-3,ICD-O-3,ICD-O-3,"Yes, if mapped",Map all to ICD-O-3 topography + ONE common site-grouping; do not trust pre-made recodes to match.
Morphology / behavior,ICD-O-3 behavior,ICD-O-3 behavior,ICD-O-3,ICD-O-3,ICD-O-3,Mostly,Confirm invasive-only vs incl. in situ (e.g. bladder) per site; align behavior codes.
Multiple-primary rules,IACR/IARC rules,SEER rules (differ from IARC),IACR/IARC,IACR/IARC,IACR/IARC,NO,SEER vs IARC multiple-primary counting differs -> affects case counts; pick one rule and note residual gap.
Rate type used,Anchor we hold is CRUDE; reports also give ASR,ASR,ASR (TCR); crude in proximity studies,ASR + crude,ASR(World),NO,CRUCIAL: never compare crude vs ASR. Age-standardize everything; recompute to a single standard.
ASR standard population,World (Segi) in SCR reports,US 2000 standard,World (Segi),Korea 2000 std AND World,World (Segi),NO,CRUCIAL: ASRs to different standards are NOT comparable. Recompute all to ONE standard (World/Segi) or use CI5.
Denominator / population,GASTAT census / mid-year est.,US Census / NCI populations,MoI household registration,Resident registration (KOSIS),National stats offices,Conceptually yes,Use each country's official mid-year denominators; document source; never share denominators across countries.
Geography unit,13 administrative regions; residence at diagnosis,County / SEER registry catchment,Township/county; residence,Si/gun/gu district; residence,Country/region,NO (definitions differ),Define exposure geography explicitly (residence at diagnosis); catchment != administrative region.
Outcome timing,Incidence (diagnosis year),Incidence; + survival follow-up,Incidence; claims have service dates,Incidence; claims service dates,Incidence,Mostly,Compare incidence-to-incidence; do not mix diagnosis-year incidence with claims-service-date counts.
Age grouping,5-yr bands (reports),5-yr / 18-group,5-yr,5-yr,5-yr,Yes if re-binned,Re-bin to a common age structure before any standardization.
Sex coding,M/F,M/F,M/F,M/F,M/F,Yes,Trivial; confirm coding.
Smoking / covariates,Not in registry (oncology records only),Limited (SEER); county-level surveys,NHIRD has some claims proxies,NHIS has health-exam smoking,Limited,NO,"Smoking availability differs sharply -> a never-smoker sub-analysis is feasible in KR/TW, not in SCR aggregate."
Exposure ascertainment,Region / planned plume gradient,EPA AirToxScreen + geocoding,Distance-to-complex (Mailiao studies),Distance-to-complex / industrial zone,Varies,NO,Exposure metrics are country-specific; never treat 'exposed' labels as equivalent across settings.
